Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Macaca mulatta	Macacus rhesus	Primates			75		897		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			78		912		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			75.5		960		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			76		974		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			75		1079		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			73		1105		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			74		1106		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			72		1106		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			87		1173		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			67		1175		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			82		1180		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			73		1187		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			89		1207		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			64		1248		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			90		1250		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			76		1275		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			95		1325		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			81.5		1327		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			71		1342		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			67		1344		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			80		1350		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			73		1353		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			72		1388		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			77		1400		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			82		1461		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			92		1535		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			82		1551		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			74		1602		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			72		1621		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			77		1626		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			77		1656		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			83		1667		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			78.5		1672		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			81		1685		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			87		1735		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			78		1747		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			83		1749		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			72		1760		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			61		1880		F	1	Not Adult	Spitzka 1903	Tail amputed
Macaca mulatta	Macacus rhesus	Primates			86		1900		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			92		1905		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			86		1928		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			72		1942		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			87		2000		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			73		2020		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			98		2025.5		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			80		2045		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			86		2072		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			82		2180		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			79		2286		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			92.5		2620		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			81		3079		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			93		5190		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			72		NA		M	1	NA	Spitzka 1903	
Macaca mulatta	Macaca mulatta	Primates			93		7800		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			105.7		NA		NA	1	NA	Warncke 1908	
Macaca mulatta	Macacus rhesus	Primates			100.8		3845		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			97		NA		NA	1	NA	Warncke 1908	
Macaca mulatta	Macacus rhesus	Primates			83.1		1752		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			82		2634		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			81		1860		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			80.2		2625		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			78.9		1985		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Macaca mulatta	Macacus rhesus	Primates			78.4		1420		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			82.5		830		M	1	Juvenile	Hrdlicka 1925	
Macaca nemestrina	Macacus nemestrinus	Primates			88		1334		F	1	Juvenile	Hrdlicka 1925	
Macaca nemestrina	Macacus nemestrinus	Primates			100		2720		F	1	Juvenile	Hrdlicka 1925	
Macaca nemestrina	Macacus nemestrinus	Primates			103.5		3085		F	1	Juvenile	Hrdlicka 1925	
Macaca nemestrina	Macacus nemestrinus	Primates			117.5		7710		M	1	Juvenile	Hrdlicka 1925	
Macaca nemestrina	Macacus nemestrinus	Primates			103		2287		F	1	Adult	Spitzka 1903	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			95		3100		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			100		3580		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			118		4590		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			119		5610		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			105		6620		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			128		8500		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			122		8610		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nemestrina	Macacus nemestrinus	Primates			113		NA		M	1	NA	Spitzka 1903	
Macaca nemestrina	Macacus nemestrinus	Primates			84		NA		F	1	NA	Spitzka 1903	
Macaca nemestrina	Nemestrinus nemestrinus	Primates			117		6625		NA	1	Adult	Warncke 1908	
Macaca nigra	Cynopithecus niger	Primates			77		1247		M	1	Juvenile	Hrdlicka 1925	Body was emaciated
Macaca nigra	Cynopithecus niger	Primates			79.5		1410		M	1	Juvenile	Hrdlicka 1925	
Macaca nigra	Cynopithecus niger	Primates			92.5		1814		F	1	Juvenile	Hrdlicka 1925	
Macaca nigra	Cynopithecus niger	Primates			112.3		2950		M	1	Juvenile	Hrdlicka 1925	
Macaca nigra	Cynopithecus niger	Primates			110		3402		M	1	Juvenile	Hrdlicka 1925	
Macaca nigra	Cynopithecus niger	Primates			97.5		3452		F	1	Adult	Hrdlicka 1925	
Macaca nigra	Cynopithecus niger	Primates			107		5490		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nigra	Cynopithecus niger	Primates			109		6350		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca nigra	Cynopithecus niger	Primates			96		NA		F	1	NA	Spitzka 1903	
Macaca sinica	Macacus sinicus	Primates			87.5		3855		M	1	Adult	Hrdlicka 1925	Body was emaciated
Macaca sinica	Macacus sinicus	Primates			58		703		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca sinica	Macacus sinicus	Primates			68		848		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca sinica	Macacus pileatus	Primates			60		1190		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca sinica	Macacus pileatus	Primates			57.5		1262		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca sinica	Macacus sinicus	Primates			75		1340		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca sinica	Macacus pileatus	Primates			72		1357		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca sinica	Macacus pileatus	Primates			64		1403		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca sinica	Macacus pileatus	Primates			62		1801		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Macaca sinica	Macacus sinicus	Primates			70		NA		F	1	NA	Spitzka 1903	
Macaca sinica	Macacus sinicus	Primates			67		NA		NA	1	NA	Spitzka 1903	
Macaca sinica	Cynomolgus pileatus	Primates			60.1		2220		NA	1	Adult	Warncke 1908	
Macaca sinica	Cynomolgus pileatus	Primates			56.2		1720		NA	1	Adult	Warncke 1908	
Macaca sinica	Cynomolgus pileatus	Primates			54.2		724.5		NA	1	Juvenile	Warncke 1908	
Macaca sinica	Cynomolgus sinicus	Primates			65		1564		NA	1	Juvenile	Warncke 1908	
Macaca sylvanus	Innus innus	Primates			87.7		11200		NA	1	Adult	Warncke 1908	Body mass estimated from Silva & Downing 1995
Macropus agilis	Macropus agilis	Diprotodontia	33.3	4.3	34.4988		14066	4241	NA	10	Not Adult	Ashwell 2007	Age class estimated from body mass
Macropus antilopinus	Macropus antilopinus	Diprotodontia	56.8	2.7	58.8448		31286	8094	NA	3	Adult	Ashwell 2007	Age class estimated from body mass
Macropus dorsalis	Macropus dorsalis	Diprotodontia	29.2	3.5	30.2512		8728	1716	NA	6	Not Adult	Ashwell 2007	Age class estimated from body mass
Macropus dorsalis	Halmaturus dorsalis	Diprotodontia			25.5		5325		NA	1	Juvenile	Warncke 1908	
Macropus dorsalis	Halmaturus dorsalis	Diprotodontia			32		5257		NA	1	Juvenile	Warncke 1908	
Macropus eugenii	Macropus eugenii	Diprotodontia	23.7	0.3	24.5532		4425	774	NA	3	Adult	Ashwell 2007	Age class estimated from body mass
Macropus fuliginosus	Macropus fuliginosus	Diprotodontia	58		60.088		31040		NA	1	Not Adult	Ashwell 2007	Age class estimated from body mass
Macropus giganteus	Macropus giganteus	Diprotodontia	69.8	1.8	72.3128		38977	4793	NA	2	Not Adult	Ashwell 2007	Age class estimated from body mass
Macropus greyi	Macropus greyi	Diprotodontia	25		25.9		9016		NA	1	NA	Ashwell 2007	
Macropus irma	Macropus irma	Diprotodontia	24.7	2.6	25.5892		4684	668	NA	5	Not Adult	Ashwell 2007	Age class estimated from body mass
Macropus parma	Macropus parma	Diprotodontia	18.7	1.2	19.3732		3557	469	NA	6	Not Adult	Ashwell 2007	Age class estimated from body mass
Macropus parma	Macropus parma	Diprotodontia			17.4		3760		F		Adult	Sherwood data/this study	"Estimated age of species: 2 y, 2m; Body mass estimated from Silva & Downing 1995"
Macropus parma	Macropus parma	Diprotodontia			18.8		NA		F		Not Adult	Sherwood data/this study	
Macropus parryi	Macropus parryi	Diprotodontia	41.3	1.8	42.7868		15194	1982	NA	3	Adult	Ashwell 2007	Age class estimated from body mass
Macropus robustus	Macropus robustus	Diprotodontia	59	4.5	61.124		35540	1472	NA	6	Adult	Ashwell 2007	Age class estimated from body mass
Macropus robustus	Macropus robustus	Diprotodontia			35.8		NA		NA	1	NA	Warncke 1908	
Macropus rufogriseus	Macropus rufogriseus	Diprotodontia	36	4.7	37.296		12090	3902	NA	14	Adult	Ashwell 2007	Age class estimated from body mass
Macropus rufogriseus	Macropus rufogriseus	Diprotodontia			39		12425		F		Adult	Sherwood data/this study	Estimated age of species: 13 y; Body mass estimated from Silva & Downing 1995
Macropus rufus	Macropus rufus	Diprotodontia	62.4	7.7	64.6464		44841	10124	NA	8	NA	Ashwell 2007	
Macropus rufus	Macropus rufus	Diprotodontia			46		NA		F		Not Adult	Sherwood data/this study	
Macrotis lagotis	Macrotis lagotis	Peramelemorphia	6.57	1.63	6.80652		1859	663	NA	11	Adult	Ashwell 2007	Age class estimated from body mass
Macrotis leucura	Macrotis leucura	Peramelemorphia	4.3		4.4548		877		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Madoqua kirkii	Rhynchotragus kirki	Cetartiodactyla			37		4570		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Malacomys edwardsi	Malacomys edwardsi	Rodentia			1.18		60		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Mandrillus sp.	Maimon maimon	Primates			160		7000		NA	1	Juvenile	Warncke 1908	
Mandrillus sp.	Maimon maimon	Primates			133.2		4135		NA	1	Juvenile	Warncke 1908	
Mandrillus sp.	Maimon maimon	Primates			122		1995		NA	1	Juvenile	Warncke 1908	
Mandrillus sp.	Maimon maimon	Primates			116		2252		NA	1	Juvenile	Warncke 1908	
Mandrillus sphinx	Mandrillus sphinx	Primates			159.2		11500		F	1	Adult	Sherwood data/this study	Estimated age of species: 33y; Body mass estimated from Silva & Downing 1995
Marmosa mexicana	Marmosa mexicana	Didelphimorphia	1	0.14	1.036		46.7	0.6	NA	2	Adult	Ashwell 2007	Age class estimated from body mass
Marmosa murina	Marmosa murina madierensis	Didelphimorphia	1.1		1.1396		60		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Marmosa robinsoni	Marmosa mitis	Didelphimorphia	0.7		0.7252		50.5		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Marmosa rubra	Marmosa rubra	Didelphimorphia	1.2		1.2432		60		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Marmota flaviventris	Marmota flaviventris	Rodentia			10.29		5000		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Marmota monax	Marmota monax	Rodentia			10.65		4198.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Marmota monax	Arctomys monax	Rodentia			11		3051		F	1	Adult	Spitzka 1903	Age class estimated from body mass
Marmota sibirica	Marmota sibiriaca	Rodentia			18.1		1890		NA	1	Adult	Warncke 1908	
Martes foina	Mustela foina	Carnivora			22		785		NA	1	Not Adult	Warncke 1908	
Martes foina	Mustela foina	Carnivora			20		710		NA	1	Not Adult	Warncke 1908	
Martes foina	Mustela foina	Carnivora			21		880		NA	1	Not Adult	Warncke 1908	
Massoutiera mzabi	Massoutiera mzabi	Rodentia			2.32		182.6		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Mastomys coucha	Mastomys coucha microdon	Rodentia			0.7132		21.8		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Megadontomys thomasi	Megadontomys thomasi	Rodentia			1.26		111		M&F	9	Adult	Mace & Eisenberg 1982	Body mass estimated from Silva & Downing 1995
Meles meles	Meles taxus	Carnivora			40.3		6160		NA	1	Not Adult	Warncke 1908	
Melomys cervinipes	Melomys cervinipes	Rodentia			1.31		70		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Melomys rufescens	Melomys rufescens	Rodentia			1.29		54.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Melursus ursinus	Melursus urs.	Carnivora			267		136080		F	1	Adult	Count 1947 (Hrdlicka 1925)	
Mephitis mephitis	Mephitis mephitis	Carnivora			10.3		1700		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Mephitis mephitis	Mephitis mephitis	Carnivora			10		2260		F	2	Adult	Crile & Quiring 1940	Age class estimated from body mass
Meriones hurrianae	Meriones hurrinae	Rodentia			0.97		71.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Meriones unguiculatus	Meriones unguiculatus	Rodentia			1.13		57.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Mesembriomys gouldii	Mesembriomys gouldii	Rodentia			4.59		1110		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Mesoplodon densirostris	Mesoplodon densirostris	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Mesoplodon europaeus	Mesoplodon europaeus	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Mesoplodon mirus	Mesoplodon mirus	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Metachirus nudicaudatus	Metachirus nudicaudatus	Didelphimorphia	3.5		3.626		390		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Micaelamys namaquensis	Aethomys namaquensis	Rodentia			0.89		79.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microcebus murinus	Microcebus murinus	Primates	1.9		1.9684		NA		NA	1	NA	Haug 1987	
Microcebus murinus	Microcebus murinus	Primates			1.78		54		NA	6	Adult	Stephan 1981	Age class estimated from body mass
Microcebus murinus	Microcebus minimus	Primates			1.9		62		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Microcebus sp.	Microcebus	Primates			1.9		62		NA	1	NA	Campell (Clark 1959)	
Microdipodops megacephalus	Microdipodops megacephalus	Rodentia	0.5	0.02	0.518	0.02072	13.6	0.8	M	8	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Microdipodops megacephalus	Microdipodops megacephalus	Rodentia			0.6		14.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microdipodops pallidus	Microdipodops pallidus	Rodentia	0.53	0.03	0.54908	0.03108	12.9	1.6	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Microgale cowani	Microgale cowani	Afrosoricida			0.42		15.2		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Microgale dobsoni	Nesogale dobsoni	Afrosoricida			0.56		32.6		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Microgale talazaci	Nesogale talazaci	Afrosoricida			0.79		50.4		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Micromys minutus	Micromys minutus	Rodentia			0.29		6.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microperoryctes longicauda	Microperoryctes longicauda	Peramelemorphia	3.81	0.64	3.94716		479	155	NA	14	NA	Ashwell 2007	
Micropotamogale lamottei	Micropotamogale lamottei	Afrosoricida			0.8		64.2		NA	3	NA	Stephan 1981	
Microtus agrestis	Arvicola agrestis	Rodentia			0.9		42.5		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Microtus agrestis	Microtus agrestis	Rodentia			0.57		22.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus arvalis	Microtus arvalis	Rodentia			0.57		30.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus californicus	Microtus californicus	Rodentia			0.78		43.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus guentheri	Microtus guentheri	Rodentia			0.69		51.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus longicaudus	Microtus longicaudatus	Rodentia			0.7		47.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus montanus	Microtus montanus	Rodentia			0.69		39.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus ochrogaster	Microtus ochrogaster	Rodentia			0.71		43.8		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus oregoni	Microtus oregoni	Rodentia			0.52		22		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus pennsylvanicus	Microtus pennsylvanicus	Rodentia			0.77		37.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus pennsylvanicus 	Microtus drummondi	Rodentia			0.6464		22.9		F	42	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Microtus pennsylvanicus 	Microtus drummondi	Rodentia			0.6606		23.7		M	67	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Microtus pennsylvanicus 	Microtus pennsylvanicus pennsylvanicus	Rodentia			0.7166		25.2		F	42	Adult	Crile & Quiring 1940	Age class estimated from body mass
Microtus pennsylvanicus 	Microtus pennsylvanicus pennsylvanicus	Rodentia			0.7394		27.9		M	53	Adult	Crile & Quiring 1940	Age class estimated from body mass
Microtus pinetorum	Microtus pinetorum	Rodentia			0.56		24.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Microtus townsendii	Microtus townsendii	Rodentia			0.88		45.8		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Mimon crenulatum 	Mimon crenulatum 	Chiroptera			0.34		14.8		NA	5	Adult	Pirlot & Stephan 1970	
Miniopterus schreibersii	Miniopterus schreibersi	Chiroptera			0.29		12.7		NA	6	Adult	Pirlot & Stephan 1970	
Mirounga leonina	Mirounga leonina	Carnivora			897.5		503000		F	1	Adult	Bininda-Emonds 2000	
Mirounga leonina	Mirounga leonina	Carnivora			1512.5		3510000		M	1	Adult	Bininda-Emonds 2000	
Molossus molossus	Molossus major	Chiroptera			0.26		13		NA	77	Adult	Pirlot & Stephan 1970	
Molossus rufus	Molossus ater	Chiroptera			0.48		28.1		NA	1	Adult	Pirlot & Stephan 1970	
Monachus monachus	Monachus monachus	Carnivora			480		260000		M	1	Adult	Bininda-Emonds 2000	
Monachus monachus	Monachus monachus	Carnivora			480		301000		F	1	Adult	Bininda-Emonds 2000	
Monachus schauinslandi	Monachus schauinslandi	Carnivora			370		173000		M	1	Adult	Bininda-Emonds 2000	
Monachus tropicalis	Monachus tropicalis	Carnivora			460		NA		M	1	Adult	Bininda-Emonds 2000	
Monodelphis brevicaudata	Monodelphis brevicauda	Didelphimorphia	0.9		0.9324		64.6		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Monodon monoceros	Monodon monoceros	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Mops leucostigma	Chaerophon leucostigma	Chiroptera			0.39		26.5		NA	6	Adult	Pirlot & Stephan 1970	
Mormoops megalophylla	Mormoops megalophylla	Chiroptera			0.42		15.6		NA	1	Adult	Pirlot & Stephan 1970	
Mormopterus jugularis	Tadarida albiventer	Chiroptera			0.22		11.5		NA	1	Adult	Pirlot & Stephan 1970	
Moschiola meminna	Tragulus memminnna	Cetartiodactyla			18.1		1973		NA	1	Adult	Warncke 1908	
Moschiola meminna	Tragulus memminnna	Cetartiodactyla			17.1		2150		NA	1	Adult	Warncke 1908	
Moschiola meminna	Tragulus memminnna	Cetartiodactyla			17		2020		NA	1	Adult	Warncke 1908	
Moschiola meminna	Tragulus memminnna	Cetartiodactyla			15.5		1845		NA	1	Adult	Warncke 1908	
Mungos mungo	Crossarchus zebra	Carnivora			10.8		930		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Muntiacus muntjak	Cervulus muntjac	Cetartiodactyla			142		NA		NA	1	Juvenile	Warncke 1908	
Murexia longicaudata	Murexia longicaudata	Dasyuromorphia	1.68	0.25	1.74048		296.5	146.2	NA	2	Adult	Ashwell 2007	Age class estimated from body mass
Mus booduga	Mus Booduga	Rodentia			0.31		14.6		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Mus musculoides	Mus musculoides	Rodentia			0.37				M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Mus musculus	Mus wagneri	Rodentia			0.424		18.92		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Mus musculus	Mus musculus	Rodentia			0.43		20.85		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Mus musculus	Mus musculus	Rodentia			0.43		20.85		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Mus musculus	Mus musculus	Rodentia			0.475		24.32		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Mus platythrix	Mus platythrix	Rodentia			0.5		29.2		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Mus sp.	Mus norvegicus	Rodentia			1.61		197		F	1	NA	Crile & Quiring 1940	
Mus sp. 	Mus norvegicus	Rodentia			2.36		448		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Mus sp. 	Mus norvegicus	Rodentia			2.3		278		M	2	NA	Crile & Quiring 1940	
Muscardinus avellanarius	Muscarnus avellanarius	Rodentia			0.5		13		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
