Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Ateles geoffroyi	Ateles geoffroyi	Primates			107.6	16.5	4760	1620	M	4	Adult	Bronson 1981	
Ateles geoffroyi	Ateles geoffroyi	Primates			107		7630		M&F	63	Adult	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			117		7787		M	6	Adult	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			102.9		8912		F	14	Adult	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			64		860		F	5	Infant	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			74.79		1029		M&F	19	Juvenile	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			103		2805		M&F	11	Juvenile	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			94.7		4999		M	3	Juvenile	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			110.6		5143		F	5	Juvenile	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			91		1835		M	1	Adult	Hrdlicka 1925	Body was emaciated
Ateles geoffroyi	Ateles geoffroyi	Primates			95.5		1920		M	1	Adult	Hrdlicka 1925	Body was emaciated
Ateles geoffroyi	Ateles geoffroyi	Primates			95		2155		M	1	Adult	Hrdlicka 1925	
Ateles geoffroyi	Ateles geoffroyi	Primates			82		2268		M	1	Adult	Hrdlicka 1925	Body was emaciated
Ateles geoffroyi	Ateles geoffroyi	Primates			94.5		2268		F	1	Adult	Hrdlicka 1925	
Ateles geoffroyi	Ateles geoffroyi	Primates			93		1709		M	1	Juvenile	Hrdlicka 1925	
Ateles geoffroyi	Ateles geoffroyi	Primates			118.5		3812		M	1	Not Adult	Hrdlicka 1925	Age class estimated from body mass
Ateles geoffroyi	Ateles geoffroyi	Primates			108		8000		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Ateles paniscus	Ateles paniscus 	Primates			106.5	12.4	5040	2730	M	6	Adult	Bronson 1981	
Ateles paniscus	Ateles paniscus 	Primates			101.2	11.5	5220	2210	F	17	Adult	Bronson 1981	
Ateles paniscus	Ateles ater	Primates	106		109.816		NA		NA	1	NA	Haug 1987	
Ateles paniscus	Ateles ater	Primates			120		2550		NA	1	Adult	Warncke 1908	
Ateles paniscus	Ateles ater	Primates			108.3		2035		NA	1	Adult	Warncke 1908	
Ateles paniscus	Ateles ater	Primates			108.8		2305		NA	1	Adult	Warncke 1908	
Ateles sp.	Ateles sp.	Primates			110		2800		NA	1	Adult	Warncke 1908	
Atherurus africanus	Atherurus africanus	Rodentia			18.47		2685		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Atherurus africanus	Atherura africana	Rodentia			25.3		3620		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Avahi laniger	Avahi L. laniger	Primates			10.49		1285		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Avahi occidentalis	Avahi l. occidentalis	Primates			9.67		860		NA	2	Not Adult	Stephan 1981	Age class estimated from body mass
Axis axis	Cervus axis	Cetartiodactyla			219		88450		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Balaenoptera musculus	Balaenoptera musculus	Cetartiodactyla			6800		58059000		NA	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Balaenoptera physalus	Balaenoptera physalus	Cetartiodactyla			6500		NA		F	1	NA	Tower 1954	
Balaenoptera physalus	Balaenoptera physalus	Cetartiodactyla			7100		NA		M	1	NA	Tower 1954	
Balaenoptera physalus	Balaenoptera physalus	Cetartiodactyla			7150		NA		M	1	NA	Tower 1954	Fixed in formalin for a year
Bassariscus astutus	Bassariscus astutus	Carnivora			17.1		NA		M	2	NA	Crile & Quiring 1940	
Bassariscus astutus	Bassaricus astuta	Carnivora			19		842		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Bassariscus sumichrasti	Felis cacomistli	Carnivora			41.9		2722		F	1	Adult	Count 1947 (Hrdlicka 1925)	
Bathyergus suillus	Bathyergus suillus	Rodentia			3.75		1175		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Beamys hindei	Beamys hindei	Rodentia			1.11		89.75		M&F	NA	Adult	Mace 1981	"Body mass averaged from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Bettongia gaimardi	Bettongia gaimardi	Diprotodontia	11.7	1.4	12.1212		1273	157	NA	5	Adult	Ashwell 2007	Age class estimated from body mass
Bettongia lesueur	Bettongia lesueur	Diprotodontia	10.5		10.878		1105		NA	1	Not Adult	Ashwell 2007	Age class estimated from body mass
Bettongia penicillata	Bettongia penicillata	Diprotodontia	9.56	0.83	9.90416		981	184	NA	9	Adult	Ashwell 2007	Age class estimated from body mass
Bettongia tropica	Bettongia tropica	Diprotodontia	8.92		9.24112		1015		NA	2	NA	Ashwell 2007	
Bison bison	Bison bison	Cetartiodactyla			334		54880		M	1	Juvenile	Crile & Quiring 1940	
Blarina brevicauda	Blarina brevicauda	Eulipotyphla			0.3443		16.3		F	39	Adult	Crile & Quiring 1940	Age class estimated from body mass
Blarina brevicauda	Blarina brevicauda	Eulipotyphla			0.352		18.8		M	29	Adult	Crile & Quiring 1940	Age class estimated from body mass
Blarina brevicauda	Blarina brevicauda	Eulipotyphla			0.17		18		M&F	NA	Adult	Mace 1981	
Bos sp. 	Cow	Cetartiodactyla			473.5		489900		F	1	Juvenile	Crile & Quiring 1940	
Bos taurus	Bos indicus	Cetartiodactyla			307		NA		NA	1	Adult	Warncke 1908	
Bos taurus	Bos taurus	Cetartiodactyla			182		NA		NA	1	Juvenile	Warncke 1908	Estimated age of species: Few months
Boselaphus tragocamelus	Bos elaphus tragocamelus	Cetartiodactyla			255.5		125000		NA	1	Adult	Warncke 1908	
Boselaphus tragocamelus	Bos elaphus tragocamelus	Cetartiodactyla			288		125000		NA	1	Adult	Warncke 1908	
Bradypus tridactylus	Bradypus tridactylus	Xenarthra			24.9		4097		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Bradypus variegatus	Bradypus griseus griseus	Xenarthra			15		2894		NA	1	Adult	Crile & Quiring 1940	
Bradypus variegatus	Bradypus griseus griseus	Xenarthra			15.1		3121		M&F	10	Adult	Crile & Quiring 1940	
Bradypus variegatus	Bradypus griseus griseus	Xenarthra			18		3774		F	1	Adult	Crile & Quiring 1940	
Bradypus variegatus	Bradypus griseus griseus	Xenarthra			15		676		NA	1	Infant	Crile & Quiring 1940	
Bradypus variegatus	Bradypus griseus griseus	Xenarthra			14		1115		F	1	Juvenile	Crile & Quiring 1940	
Bradypus variegatus	Bradypus griseus griseus	Xenarthra			13		1601		M	1	Juvenile	Crile & Quiring 1940	
Bradypus variegatus	Bradypus griseus griseus	Xenarthra			NA		2005		M&F	4	Juvenile	Crile & Quiring 1940	
Bublis sp. 	Bublis cokei cokei	Cetartiodactyla			275		134000		M	1	NA	Crile & Quiring 1940	
